#{"t_start": 1775327737.630106, "env_id": "None"}
r,l,t
1166.85,14,22.825726
-307.155128,877,42.726836
3333.112821,1751,94.863845
-788.846154,1418,131.321983
203.5,456,191.721191
-1084.262821,2177,254.743791
1718.142308,463,295.315051
2424.320513,462,333.441223
734.301282,989,376.554202
1439.497436,1162,396.920808
1371.358974,26,416.8651
333.189744,1265,465.332737
303.069231,1207,534.979793
858.583333,284,562.085311
931.620513,578,592.734986
722.076923,550,612.370506
926.115385,932,639.563272
621.175641,1079,703.325418
3363.630769,1318,753.807206
2097.347436,1812,799.345925
3447.552564,1661,869.435672
904.947436,320,897.747658
3181.394872,1122,935.256509
2320.74359,1205,978.106571
977.920513,929,1027.298815
1340.810256,761,1071.332911
1614.612821,676,1095.388633
1300.342308,72,1104.946328
687.198718,5,1126.279149
-126.951282,677,1140.03354
2094.769231,864,1195.133527
-461.180769,480,1211.94569
583.967949,671,1245.266857
1088.758974,501,1277.033835
734.187179,1177,1321.975476
-639.542308,1240,1368.392781
835.882051,494,1383.4958
975.35,1010,1408.388581
982.908974,408,1455.716084
1786.725641,506,1481.840587
1577.944872,1050,1514.139146
687.103846,1148,1553.233032
-3.955128,359,1564.49048
2266.467949,1024,1592.843259
2061.196154,338,1611.181721
630.494872,1265,1646.338063
1197.491026,372,1662.655521
1085.75641,505,1678.049342
302.942308,960,1747.146486
-830.478205,781,1786.65599
891.555128,1112,1809.427608
380.344872,743,1831.110389
-385.9,496,1846.448456
202.475641,1055,1868.423663
1044.302564,708,1911.165803
1230.128205,723,1935.904804
-356.85,392,1950.483406
1668.612821,103,1960.759416
486.330769,333,1993.433193
2327.326923,867,2027.149133
1079.494872,978,2048.295391
-7.267949,1499,2087.988275
1251.258974,485,2103.691412
343.339744,709,2137.60681
